Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
COMFEE Pingüino Portátil 7000 BTU/1800;COMFEE Pingüino Aire Acondicionado Portátil 7000 BTU/1800 Frigorías Breezy Cool Pro - Climatizador sin unidad exterior, Bajo Consumo, App Control y Kit de Ventana - Refrigera, Ventila y Deshumidifica;Equipamentos;;;Ativo;ProStoral;€ 190.07;Comfee;;PS0045202510;12/06/2025;;16/10/2025;16/10/2025
Poly Voyager Focus 2;Poly Voyager Focus 2 - Auricular inalámbrico Bluetooth, cancelación de ruido, 25 horas autonomía, USB-C y adaptador USB-A, negro;Equipamentos;;;Ativo;ProStoral;€ 173.55;POLY;;PS0046202510;26/05/2025;;16/10/2025;16/10/2025
Logitech MX Master 3S;Logitech MX Master 3S para Mac, ratón inalámbrico Bluetooth con desplazamiento ultrarrápido, ergonómico, 8K DPI, seguimiento de cristal, clics silenciosos, USB-C, Apple, iPad, gris espacial;Equipamentos;;;Ativo;ProStoral;€ 80.58;Logitech;;PS0047202510;26/05/2025;;16/10/2025;16/10/2025
Potente de cilindro sin;Amazon Basics Potente aspirador de cilindro sin bolsa, para suelos duros y alfombras, filtro HEPA, compacto y ligero, 700 W, 2.0 L (UE), Negro/Azul;Equipamentos;;;Ativo;ProStoral;€ 55.93;Amazon Basics;;PS0048202510;05/05/2025;;16/10/2025;16/10/2025
Comfee' RCD93BL2EURT(E) 93L, Retro;Comfee' RCD93BL2EURT(E) Refrigerador Bajo Encimera, 93L, Refrigerador Retro Independiente con Compartimento Enfriador, Termostatos Ajustables, Luz LED, Negro;Equipamentos;;;Ativo;ProStoral;€ 115.69;Comfee;;PS0049202510;05/05/2025;;16/10/2025;16/10/2025
iPhone SE Gen (Product) Red;Apple iPhone SE 3ra Gen 64GB, (Product) Red (Reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 180.97;Apple;;PS0050202510;21/04/2025;;16/10/2025;16/10/2025
HP EliteDesk 800 G3 Mini;HP EliteDesk 800 G3 Mini PC Ordenador de sobremesa Intel i5-6400T RAM 8GB SSD 240GB Windows 10 Pro (reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 101.65;HP;;PS0051202510;21/04/2025;;16/10/2025;16/10/2025
Pro portátil con Chip M4;Apple MacBook Pro portátil con Chip M4 MAX, CPU 14 núcleos, GPU 32 núcleos: diseñado para Apple Intelligence, Pantalla Liquid Retina XDR 16,2″, 36 GB Memoria unificada, 1 TB de SSD, Negro Espacial;Equipamentos;;;Ativo;ProStoral;€ 3139.67;Apple;;PS0052202510;15/04/2025;;16/10/2025;16/10/2025
Cooler Master MasterLiquid 240L;Cooler Master MasterLiquid 240L Core ARGB Refrigeración Líquida para CPU - Bomba de Doble Cámara Gen S, Radiador y Ventiladores 120mm ARGB, Brackets LGA 1700 y AM5 - Negro;Equipamentos;;;Ativo;ProStoral;€ 62.80;Cooler Master;;PS0053202510;21/03/2025;;16/10/2025;16/10/2025
85 Soporte de Escritorio;Jabra Evolve2 85 Soporte de Carga para Escritorio - Base de Carga para Auriculares USB-C - Negro;Equipamentos;;;Ativo;ProStoral;€ 93.52;Jabra;;PS0054202510;20/03/2025;;16/10/2025;16/10/2025
UBIQUITI UNIFI Flex Mini 5;Switch UBIQUITI USW-Flex-Mini UNIFI Switch Flex Mini 5 Puertos Pack 3 UND;Equipamentos;;;Ativo;ProStoral;€ 94.37;Ubiquiti;;PS0055202510;18/03/2025;;16/10/2025;16/10/2025
NZXT PSU C1200 -;NZXT PSU C1200 - PA-2G1BB-EU - Fuente de alimentación de 1200 vatios para PC de Gaming ATX - Certificado 80 Plus Gold - Totalmente Modular - Cables enfundados Negros - 10 años de garantía - Negra;Equipamentos;;;Ativo;ProStoral;€ 131.40;NZXT;;PS0056202510;17/03/2025;;16/10/2025;16/10/2025
WOLTU Silla Gaming Ergonómica,;WOLTU Silla Gaming Ergonómica, Silla Oficina con Soporte Lumbar Masaje y Reposapiés Extraible, Silla Giratoria con Gran Asiento de Muelle, Capacidad de 150 kg, Tela de Malla, Gris+Amarillo, GS08gr;Equipamentos;;;Ativo;ProStoral;€ 132.22;WOLTU;;PS0057202510;17/03/2025;;16/10/2025;16/10/2025
"- Monitor juegos de 24""/61";"Amazon Basics - Monitor para juegos de 24""/61 cm, FHD 1080p, 165 Hz, compatible con VESA, sincronización adaptativa, respuesta de 1 ms, Negro";Equipamentos;;;Ativo;ProStoral;€ 98.35;Amazon Basics;;PS0058202510;17/03/2025;;16/10/2025;16/10/2025
de Dibujo de Escritorio;Vinsetto Silla de Dibujo Giratoria Silla de Escritorio Silla Alta con Respaldo Medio Soporte Lumbar Reposabrazos Abatibles Altura Ajustable Carga 120 kg 59x59x95-115 cm Negro;Equipamentos;;;Ativo;ProStoral;€ 80.14;Vinsetto;;PS0059202510;17/03/2025;;16/10/2025;16/10/2025
- Monitor Full HD de;Philips 24E1N1100A - Monitor Full HD de 24 Pulgadas, Integrado Altavoz, Tiempo de Respuesta de 1 ms (1920x1080, 100 Hz, VGA, HDMI 1.4) Negro;Equipamentos;;;Ativo;ProStoral;€ 69.42;Philips;;PS0060202510;10/03/2025;;16/10/2025;16/10/2025
Technology Duro Interno,;"Seagate Technology IronWolf, 6TB, NAS,Disco Duro Interno, HDD, CMR 3.5""SATA 6 GB/s,5400 RPM, caché de 256 MB para Almacenamiento Conectado a Red Raid, 3 años de Rescue,Paquete Abre-fácil(ST6000VNZ06)";Equipamentos;;;Ativo;ProStoral;€ 148.75;Seagate Technology;;PS0061202510;08/03/2025;;16/10/2025;16/10/2025
