Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
MasterPro Giro 3 |;MasterPro Giro 3 | Juego de Sartenes Antiadherentes de 20, 24 y 28cm con Protectores | Triple Capa de Acero Inoxidable y Aluminio Forjado | Mango Ergonómico | Acero Inoxidable | Todo Tipo de Cocinas;Equipamentos;;;Ativo;ProStoral;€ 113.22;MasterPro;;PS0109202510;29/09/2024;;16/10/2025;16/10/2025
MasterPro Giro 3 |;MasterPro Giro 3 | Juego de Sartenes Antiadherentes de 20, 24 y 28cm con Protectores | Triple Capa de Acero Inoxidable y Aluminio Forjado | Mango Ergonómico | Acero Inoxidable | Todo Tipo de Cocinas;Equipamentos;;;Ativo;ProStoral;€ 113.22;MasterPro;;PS0110202510;29/09/2024;;16/10/2025;16/10/2025
iPhone SE Gen, Negro -;Apple iPhone SE 2a Gen, 64GB, Negro - (Reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 145.90;Apple;;PS0111202510;28/09/2024;;16/10/2025;16/10/2025
Nuroum con Micrófono Boom,;Nuroum OW20B Auriculares Inalámbricos con Micrófono Boom, Bluetooth 5.3/Función de Silencio/Conexión Multipunto para PC/Portátil/Teléfono, 15 Horas de Comodidad para Conducir/Trabajo/Entrenar/Llamadas;Equipamentos;;;Ativo;ProStoral;€ 63.39;Nuroum;;PS0112202510;28/09/2024;;16/10/2025;16/10/2025
SMALLRIG Softbox Parabólico (RA-D55),;SMALLRIG Softbox Parabólico (RA-D55), 55 cm de diámetro Paraguas Softbox ligero parabólico de liberación rápida, para SMALLRIG RC 120D/RC 120B/RC 220D/RC 220B y otras lámparas de montaje Bowens - 3585;Equipamentos;;;Ativo;ProStoral;€ 86.64;SMALLRIG;;PS0113202510;23/09/2024;;16/10/2025;16/10/2025
pro 2X Trípode de con;"Walimex pro 2X Trípode de lámpara con amortiguación de muelle altura máx 256cm de luz estable cargable hasta 6kg I de iluminación para luz anular, reflector, flash y vídeo adaptador de 3/8"" y 3 bolsas";Equipamentos;;;Ativo;ProStoral;€ 61.90;walimex pro;;PS0114202510;23/09/2024;;16/10/2025;16/10/2025
SMALLRIG RC 220B 220W;SMALLRIG RC 220B 220W luz Continua fotografia Bicolor 2700K-6500K 84500 Lux@3.3ft (1M) Lluminación Continua CRI 95+ TLCI 96+ con Montura Bowens, Control Manual y de Aplicación de Forma Remota - 3621;Equipamentos;;;Ativo;ProStoral;€ 323.99;SMALLRIG;;PS0115202510;23/09/2024;;16/10/2025;16/10/2025
MASKO® Andamio, Andamio ✓;MASKO® Andamio, Andamio ✓ Aluminio ✓ Escalera ✓ Plataforma de trabajo, Capacidad de carga hasta 150 KG, Revestimiento antideslizante, Escalera de andamio, Comprobado GS (EN 131), Negro;Equipamentos;;;Ativo;ProStoral;€ 124.20;Masko;;PS0116202510;22/09/2024;;16/10/2025;16/10/2025
Apple iPhone 16 Pro;Apple iPhone 16 Pro (1 TB) - Titanio Natural;Equipamentos;;;Ativo;ProStoral;€ 1528.10;Apple;;PS0117202510;22/09/2024;;16/10/2025;16/10/2025
/ 21 Inch/Intel Core i5;Apple iMac / 21 Inch/Intel Core i5 (4 Core) 2.8 GHz (Turbo Boost 3.3 GHz) / RAM 16 GB/Fushion Drive 1TB / MK442LL / A Original APPLE Keyboard and Mouse (Reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 299.00;Apple;;PS0118202510;21/09/2024;;16/10/2025;16/10/2025
Osprey 55 de Hombre excursiones,;Osprey Aether 55 Mochila de Hombre para excursiones, Negro (Black), Talla S/M;Equipamentos;;;Ativo;ProStoral;€ 189.98;Osprey;;PS0119202510;20/09/2024;;16/10/2025;16/10/2025
TD Systems - Smart;TD Systems - Smart TV 32 Pulgadas, Hey Google Chromecast, Television TDT HD, Android 11, Modelo 2024, Televisor con 3 años de garantía - PRIME32C19GLE;Equipamentos;;;Ativo;ProStoral;€ 139.00;TD Systems;;PS0120202510;19/09/2024;;16/10/2025;16/10/2025
Aspirador De Polvo De;Aspirador De Polvo De Bajo Ruido De 230W, Equipo De Laboratorio Dental Colector De Polvo De Alta Potencia De Velocidad Ajustable con Succión Fuerte Y Ligera;Equipamentos;;;Ativo;ProStoral;€ 112.10;DZTBX;;PS0121202510;09/09/2024;;16/10/2025;16/10/2025
2022 Portátil con Chip;Apple 2022 Ordenador Portátil MacBook Air con Chip M2 Pantalla Liquid Retina de 13,6 Pulgadas, 8GB de RAM, 256 GB de Almacenamiento SSD, Teclado retroiluminado, Color Blanco Estrella;Equipamentos;;;Ativo;ProStoral;€ 990.91;Apple;;PS0122202510;26/08/2024;;16/10/2025;16/10/2025
2022 Portátil con Chip;Apple 2022 Ordenador Portátil MacBook Air con Chip M2 Pantalla Liquid Retina de 13,6 Pulgadas, 8GB de RAM, 256 GB de Almacenamiento SSD, Teclado retroiluminado, Color Blanco Estrella;Equipamentos;;;Ativo;ProStoral;€ 990.91;Apple;;PS0123202510;26/08/2024;;16/10/2025;16/10/2025
Yaheetech Silla de Oficina;Yaheetech Silla de Oficina Ergonomica Silla Reposabrazo Ajustable Silla Oficina Trabajo con Reposacabeza Silla Giratoria Negro;Equipamentos;;;Ativo;ProStoral;€ 79.00;Yaheetech;;PS0124202510;16/08/2024;;16/10/2025;16/10/2025
Winrise Silla de oficina;Winrise Silla de oficina Sillas ergonómicas de escritorio con soporte lumbar y brazos abatibles, cómoda y transpirable, silla de ordenador de malla ajustable, silla de escritorio para el hogar, color;Equipamentos;;;Ativo;ProStoral;€ 80.66;Winrise;;PS0125202510;16/08/2024;;16/10/2025;16/10/2025
Amazon Basics - Potente;Amazon Basics - Potente aspirador con bolsa, para suelos duros y alfombras, filtro HEPA, compacto y ligero, 700 W, 1,5 l (UE), Negro;Equipamentos;;;Ativo;ProStoral;€ 67.80;Amazon Basics;;PS0126202510;12/08/2024;;16/10/2025;16/10/2025
DUDUPET Dispensador automático de;DUDUPET Dispensador automático de Comida 5L y Agua para gatos 4L, dispensador de Bebidas para gatos + dispensador de Comida para gatos;Equipamentos;;;Ativo;ProStoral;€ 79.99;DUDUPET;;PS0127202510;26/07/2024;;16/10/2025;16/10/2025
BenQ PD3225U Monitor 32 y;BenQ PD3225U Monitor 32 Pulgadas 4K Mac y diseñadores, 3840x2160 UHD, IPS de 2000:1, Thunderbolt 3, Display P3, DCI-P3, sRGB, Rec.709 y HDR, Hotkey Puck G2, sincronización ICC y KVM;Equipamentos;;;Ativo;ProStoral;€ 826.44;BenQ;;PS0128202510;17/07/2024;;16/10/2025;16/10/2025
Hisense RR106D4CBE- Frigorífico Top,;Hisense RR106D4CBE- Frigorífico Una Puerta, Table Top, Congelador, Class E, Capacidad 82L con 87 cm Alto, Congelador Freeze Zone, Cajón frutas y verduras, Silencioso 36 dBA, Color Negro;Equipamentos;;;Ativo;ProStoral;€ 181.94;Hisense;;PS0129202510;17/07/2024;;16/10/2025;16/10/2025
Logitech MX Master 3S;Logitech MX Master 3S para Mac, ratón inalámbrico Bluetooth con desplazamiento ultrarrápido, ergonómico, 8K DPI, seguimiento de cristal, clics silenciosos, USB-C, Apple, iPad, gris espacial;Equipamentos;;;Ativo;ProStoral;€ 76.02;Logitech;;PS0130202510;23/06/2024;;16/10/2025;16/10/2025
Aygrochy 200mm Ventilador de;Aygrochy 200mm Ventilador de extracción ajustable, Ventilador Extractor de Aire con controlador de velocidad variable de;Equipamentos;;;Ativo;ProStoral;€ 93.70;Aygrochy;;PS0131202510;19/06/2024;;16/10/2025;16/10/2025
Audioengine A2 Plus Haut-parleurs;Audioengine A2 Plus Haut-parleurs Bluetooth Sans Fil pour Ordinateur - SystËme de Haut-parleurs Bluetooth 60W pour la Maison, Le Studio, Le Jeu Avec Bluetooth aptX, AUX et USB DAC |(Rouge, Paire);Equipamentos;;;Ativo;ProStoral;€ 178.38;Audioengine;;PS0132202510;16/06/2024;;16/10/2025;16/10/2025
KLARSTEIN Nevera Pequeña Puerta;KLARSTEIN Nevera Pequeña Puerta Cristal Habitaciones, Nevera Portatil Electrica, Mini Nevera Pequeña para Bebidas, Frigorificos Pequeños 47L, Mini Frigorifico con Estantes, Neveras Pequeñas;Equipamentos;;;Ativo;ProStoral;€ 208.54;KLARSTEIN;;PS0133202510;16/06/2024;;16/10/2025;16/10/2025
Aygrochy 150 mm Ventilador;Aygrochy 150 mm Ventilador Extractor de Aire con regulador de temperatura y humedad, ventilador extractor para Booster, tienda de crecimiento, ventilación y extractor de aire.;Equipamentos;;;Ativo;ProStoral;€ 149.99;Aygrochy;;PS0134202510;16/06/2024;;16/10/2025;16/10/2025
de escritorio de con;Newrays Lámpara de escritorio Banker de vidrio con interruptor de cadena de tracción (Verde);Equipamentos;;;Ativo;ProStoral;€ 58.25;Newrays;;PS0135202510;16/06/2024;;16/10/2025;16/10/2025
KERDOM de Escritorio con;KERDOM Sillas Ergonomicas Oficina, Silla de Escritorio con Soporte Lumbar,Reposacabezas Ajustable, Reposabrazos, Silla 360° Giratoria para computadora,Negro;Equipamentos;;;Ativo;ProStoral;€ 152.52;KERDOM;;PS0136202510;14/06/2024;;16/10/2025;16/10/2025
220V 1500W 6 unidades;220V 1500W 6 unidades Máquinas de hacer gofres eléctricas antiadherentes comerciales Lolly, máquina para hacer gofres crujientes Máquina de gofres profesionales Lolly Waffle Sticks Maíz Hot Dogs;Equipamentos;;;Ativo;ProStoral;€ 173.00;Xian;;PS0137202510;09/06/2024;;16/10/2025;16/10/2025
Primy de de diseño ergonómico;Primy Silla de Oficina Silla de diseño ergonómico Silla giratoria 360° Taburete de Bar con reposapiés Silla para el hogar con reposabrazos Plegables, 300 Libras(Negro);Equipamentos;;;Ativo;ProStoral;€ 106.55;Primy;;PS0138202510;06/06/2024;;16/10/2025;16/10/2025
Logitech MX Master 3S;Logitech MX Master 3S para Mac, ratón inalámbrico Bluetooth con desplazamiento ultrarrápido, ergonómico, 8K DPI, seguimiento de cristal, clics silenciosos, USB-C, Apple, iPad, gris espacial;Equipamentos;;;Ativo;ProStoral;€ 67.91;Logitech;;PS0139202510;06/06/2024;;16/10/2025;16/10/2025
Logitech MX Master 3S;Logitech MX Master 3S para Mac: ratón Bluetooth de desplazamiento ultrarrápido, ergonómico, 8K DPI, seguimiento de cristales, clics silenciosos, USB-C, Apple, iPad, gris pálido;Equipamentos;;;Ativo;ProStoral;€ 66.12;Logitech;;PS0140202510;06/06/2024;;16/10/2025;16/10/2025
Shure MV7+ Podcast Mikrofon-Verbessertes;Shure MV7+ Podcast Mikrofon-Verbessertes Audio, LED-Touchpanel, USB-C- und XLR-Ausgänge, Auto-Level-Modus, digitaler Pop-Filter, Halleffekte, Podcasting, Streaming, Aufnahme - Schwarz;Equipamentos;;;Ativo;ProStoral;€ 271.90;Shure;;PS0141202510;31/05/2024;;16/10/2025;16/10/2025
BALDERIA Chimenea eléctrica 3;BALDERIA Chimenea eléctrica 3 en 1 de pie Leif 40'' | Montaje en Pared o empotrada | Efecto de Llamas 3D | Calefacción de 1800 W | Control Remoto, Inicio programado, Temporizador y termostato | Negro;Equipamentos;;;Ativo;ProStoral;€ 319.99;BALDERIA;;PS0142202510;21/05/2024;;16/10/2025;16/10/2025
HUAWEI FreeClip,Auriculares Inalámbricos Bluetooth,Clip;HUAWEI FreeClip,Auriculares Inalámbricos Bluetooth,Clip Innovador,Open-Ear,Gran Duración de Batería,Cancelación de Ruido en Llamadas por IA,Resistencia IP54 al Polvo y a Salpicaduras de Agua,Negro;Equipamentos;;;Ativo;ProStoral;€ 137.55;HUAWEI;;PS0143202510;15/05/2024;;16/10/2025;16/10/2025
Oversteel - DIAMOND Silla;Oversteel - DIAMOND Silla de Gaming Profesional Polipiel, Reposabrazos 3D, Ajustable en Altura, Reclinable 180º, Pistón Gas Clase 4, Hasta 150Kg, Color Verde;Equipamentos;;;Ativo;ProStoral;€ 96.69;Oversteel;;PS0144202510;01/05/2024;;16/10/2025;16/10/2025
Magic Life Silla de;Magic Life Silla de oficina ergonómica, silla de escritorio ajustable de 4 engranajes, soporte lumbar ajustable con cojín grueso, reposacabezas 3D y cómoda silla de computadora con reposabrazos;Equipamentos;;;Ativo;ProStoral;€ 112.49;Magic Life;;PS0145202510;01/05/2024;;16/10/2025;16/10/2025
Magic Life Silla de;Magic Life Silla de oficina ergonómica, silla de escritorio ajustable de 4 engranajes, soporte lumbar ajustable con cojín grueso, reposacabezas 3D y cómoda silla de computadora con reposabrazos;Equipamentos;;;Ativo;ProStoral;€ 112.49;Magic Life;;PS0146202510;01/05/2024;;16/10/2025;16/10/2025
Magic Life Silla de;Magic Life Silla de oficina ergonómica, silla de escritorio ajustable de 4 engranajes, soporte lumbar ajustable con cojín grueso, reposacabezas 3D y cómoda silla de computadora con reposabrazos;Equipamentos;;;Ativo;ProStoral;€ 112.49;Magic Life;;PS0147202510;01/05/2024;;16/10/2025;16/10/2025
LG 29WP500-B - Monitor;LG 29WP500-B - Monitor UltraWide Ultrapanorámico 29 pulgadas, 21:9, Panel IPS: 2560x1080, 250cd/m², 1000:1, sRGB superior al 99%, diag. 73cm, entr: HDMIx2, Inclinación Ajustable, Color Negro;Equipamentos;;;Ativo;ProStoral;€ 134.10;LG;;PS0148202510;30/04/2024;;16/10/2025;16/10/2025
LG 34WP500-B - Monitor;"LG 34WP500-B - Monitor Ultrawide, 21:9, Panel IPS: 2560x1080, HDMIx2;, HDR10";Equipamentos;;;Ativo;ProStoral;€ 197.67;LG;;PS0149202510;30/04/2024;;16/10/2025;16/10/2025
LG 29WP500-B - Monitor;LG 29WP500-B - Monitor UltraWide Ultrapanorámico 29 pulgadas, 21:9, Panel IPS: 2560x1080, 250cd/m², 1000:1, sRGB superior al 99%, diag. 73cm, entr: HDMIx2, Inclinación Ajustable, Color Negro;Equipamentos;;;Ativo;ProStoral;€ 134.10;LG;;PS0150202510;30/04/2024;;16/10/2025;16/10/2025
LG 29WP500-B - Monitor;LG 29WP500-B - Monitor UltraWide Ultrapanorámico 29 pulgadas, 21:9, Panel IPS: 2560x1080, 250cd/m², 1000:1, sRGB superior al 99%, diag. 73cm, entr: HDMIx2, Inclinación Ajustable, Color Negro;Equipamentos;;;Ativo;ProStoral;€ 134.10;LG;;PS0151202510;30/04/2024;;16/10/2025;16/10/2025
"Soporte Monitor Doble 13""-32"" Monitor";"ErGear Soporte Monitor Doble para 13""-32"" Monitor con Resorte de Gas Tecnología de Movimiento Completo Brazo Monitor Inclinación ± 45 ° Giratoria 180 ° Rotación 360 ° VESA 100/75mm";Equipamentos;;;Ativo;ProStoral;€ 56.57;ErGear;;PS0152202510;30/04/2024;;16/10/2025;16/10/2025
NEEWER Actualizado NW635II-C TTL;NEEWER Actualizado NW635II-C TTL Cámara Flash Speedlite con Pantalla LCD, Compatible con Canon EOS R6 R5 R3 R M6 850D 800D 760D 750D 650D 600D 7D Mark II 7D 6D Mark II 6D 5D Mark IV/III 1D Mark III;Equipamentos;;;Ativo;ProStoral;€ 99.99;NEEWER;;PS0153202510;26/04/2024;;16/10/2025;16/10/2025
HP OMEN - portátil de;"HP OMEN 16-wf1018ns - Ordenador portátil Gaming de 16,1"" FHD (Intel Core i9-14900HX, 32GB RAM, 1 TB SSD, NVIDIA GeForce RTX 4070, 165Hz, Sin Sistema Operativo) Negro - Teclado QWERTY Español";Equipamentos;;;Ativo;ProStoral;€ 1818.17;HP;;PS0154202510;25/04/2024;;16/10/2025;16/10/2025
SteelSeries 7 - mecánico;SteelSeries Apex 7 - Teclado mecánico para gaming - Smart Display OLED - Retroiluminación LED RGB - Interruptores rojo - Teclado americano (QWERTY);Equipamentos;;;Ativo;ProStoral;€ 142.55;SteelSeries;;PS0155202510;25/04/2024;;16/10/2025;16/10/2025
ZEEGMA Planeet MIX -;ZEEGMA Planeet MIX - Amasadora (1800 W, robot multifuncional con cuenco de 5 L, con asa y tapa, 8 velocidades, incluye panel táctil de 3 piezas) (Black);Equipamentos;;;Ativo;ProStoral;€ 82.64;Zeegma;;PS0156202510;22/04/2024;;16/10/2025;16/10/2025
RYOBI - Eléctrico ONE+ -;RYOBI - Cortasetos Eléctrico Inalámbrico 18V ONE+ - Cuchillas de 50cm para Setos, Ramas Finas y Recorte Regular - Se Entrega con 1 Batería 18V 2,0Ah y 1 Cargador - RHT1851R-20F;Equipamentos;;;Ativo;ProStoral;€ 123.96;Ryobi;;PS0157202510;17/04/2024;;16/10/2025;16/10/2025
Andoer 50 cm/20 Pulgadas;Andoer 50 cm/20 Pulgadas de Aleación de Aluminio Cámara rastreador Deslizante de Vídeo estabilizador Riel para Cámara DSLR Videocámara Videocámara DV~Película Fotografía, Carga hasta 11 LB;Equipamentos;;;Ativo;ProStoral;€ 59.18;Andoer;;PS0158202510;17/04/2024;;16/10/2025;16/10/2025
Andoer 50 cm/20 Pulgadas;Andoer 50 cm/20 Pulgadas de Aleación de Aluminio Cámara rastreador Deslizante de Vídeo estabilizador Riel para Cámara DSLR Videocámara Videocámara DV~Película Fotografía, Carga hasta 11 LB;Equipamentos;;;Ativo;ProStoral;€ 59.18;Andoer;;PS0159202510;11/04/2024;;16/10/2025;16/10/2025
X9 Disco Duro Externo;Crucial X9 Disco Duro Externo SSD 4TB, Hasta 1050MB/s, Compatible con PC, Mac, PlayStation y Xbox, Memoria Externa, USB-C 3.2 - CT4000X9SSD902;Equipamentos;;;Ativo;ProStoral;€ 220.65;Crucial;;PS0160202510;11/04/2024;;16/10/2025;16/10/2025
COMFIER Asiento de Masaje;COMFIER Asiento de Masaje Shiatsu para Espalda y Cuello - Masajeador de espalda 2D / 3D de amasamiento completo con calor y compresor ajustable, Masajeador de cuerpo completo;Equipamentos;;;Ativo;ProStoral;€ 189.99;COMFIER;;PS0161202510;08/04/2024;;16/10/2025;16/10/2025
LG SQC4R - de Sonido;LG SQC4R - Barra de Sonido Inteligente, 220W, 2.1 Canales, Sonido Envolvente Dolby Digital con Bajos Potentes, Amplia Conectividad, HDMI, Bluetooth, USB, Entrada Óptica y App Android/iOS, Negro;Equipamentos;;;Ativo;ProStoral;€ 147.93;LG;;PS0162202510;20/03/2024;;16/10/2025;16/10/2025
Salicru SPS 1200 Soho+;Salicru SPS 1200 Soho+ - Sistema de Alimentación Ininterrumpida (SAI/UPS) de 1200 VA Line-Interactive y con Doble Cargador USB, Rojo;Equipamentos;;;Ativo;ProStoral;€ 147.18;Salicru;;PS0163202510;13/03/2024;;16/10/2025;16/10/2025
M2 Combo Micrófono (2TX+3RX);Hollyland Lark M2 Combo Micrófono Inalámbrico (2TX+3RX) para Cámara, iPhone, Android, PC, 300m, 48kHz/24 bit, Hi-Fi Audio, ENC Anti-rumore, 40 Horas, Microfono Lavalier per Podcast, Livestream, Vlog;Equipamentos;;;Ativo;ProStoral;€ 164.45;HollyView;;PS0164202510;10/03/2024;;16/10/2025;16/10/2025
CLIPOP Juego de 2 de;CLIPOP Juego de 2 taburetes de Bar de Cuero sintético marrón para Cocina y Desayuno con Base y elevación de Gas Giratorio Ajustable, 2 taburetes de Comedor con Respaldo Alto;Equipamentos;;;Ativo;ProStoral;€ 65.28;CLIPOP;;PS0165202510;22/02/2024;;16/10/2025;16/10/2025
OTTOCAST 2024 Inalámbrico CarPlay;OTTOCAST 2024 Inalámbrico CarPlay Adaptador Wireless Dongle,8s Auto-Connect Fast Speed,Inalambrico Apple CarPlay Inalambrico Plug Play,para Autos CarPlay con Cable Originales (Carplay U2Air Pro);Equipamentos;;;Ativo;ProStoral;€ 100.83;OTTOCAST;;PS0166202510;03/02/2024;;16/10/2025;16/10/2025
Yongnuo YN-14EX Ring TTL Light;Yongnuo YN-14EX Macro Ring TTL Flash Light Luz + Adaptador for Canon DSLR 6D 7D LF464;Equipamentos;;;Ativo;ProStoral;€ 120.82;YONGNUO;;PS0167202510;11/01/2024;;16/10/2025;16/10/2025
FoodSaver Máquina de vacío;FoodSaver Máquina de vacío FFS005X con compartimiento de almacenamiento de rodillos y cortadores, función de pulso para alimentos frágiles, incluye accesorios y bolsas de vacío a juego;Equipamentos;;;Ativo;ProStoral;€ 82.93;FoodSaver;;PS0168202510;04/12/2023;;16/10/2025;16/10/2025
Breville Freidora de aire;Breville Freidora de aire con función vapor | Freidora de aire digital de 7L con tecnología vapor SteamFry | 50% más eficiencia energética | 1700W | Color negro [VDF133X] | Enchufe UE;Equipamentos;;;Ativo;ProStoral;€ 114.88;Breville;;PS0169202510;26/11/2023;;16/10/2025;16/10/2025
Green Cell GC PowerBox;Green Cell GC PowerBox Wallbox 22kW RFID Cargador para EV PHEV | Cargando con 22kW/11kW/7.2kW | Toma de Tipo 2 | Pantalla LCD | Compatible con Model 3/S/X/Y, ID.3, ID.4, 500e, EV6, E-Tron, ZOE, Mach-E;Equipamentos;;;Ativo;ProStoral;€ 353.51;Green Cell;;PS0170202510;09/11/2023;;16/10/2025;16/10/2025
Aleación de aluminio Hierro;Aleación de aluminio Hierro Parachoques Trasero Remolque Gancho Rescate Accesorios 2PCS Para LR Defender 110 2020 2021 (Negro);Equipamentos;;;Ativo;ProStoral;€ 105.00;YIWANG;;PS0171202510;08/11/2023;;16/10/2025;16/10/2025
Freidora de aire de;Freidora de aire de 5.5L, Uten freidoras de aire sin aceite para uso doméstico, pantalla LED con pantalla digital, temporizador y control de temperatura ajustable para una salud baja en grasa, 1700W;Equipamentos;;;Ativo;ProStoral;€ 87.60;Uten;;PS0172202510;07/11/2023;;16/10/2025;16/10/2025
Green Cell GC PowerBox;Green Cell GC PowerBox Wallbox 22kW RFID Cargador para EV PHEV | Cargando con 22kW/11kW/7.2kW | Toma de Tipo 2 | Pantalla LCD | Compatible con Model 3/S/X/Y, ID.3, ID.4, 500e, EV6, E-Tron, ZOE, Mach-E;Equipamentos;;;Ativo;ProStoral;€ 338.49;Green Cell;;PS0173202510;07/11/2023;;16/10/2025;16/10/2025
Salicru SPS 1200 Soho+;Salicru SPS 1200 Soho+ - Sistema de Alimentación Ininterrumpida (SAI/UPS) de 1200 VA Line-Interactive y con Doble Cargador USB, Rojo;Equipamentos;;;Ativo;ProStoral;€ 138.13;Salicru;;PS0174202510;02/11/2023;;16/10/2025;16/10/2025
TUKAILAI Tocador Blanco con;TUKAILAI Tocador Blanco con Espejo y Bombillas, Mesa de Maquillaje de Luces LED Ajustables de Hollywood con 4 Cajones y 1 Compartimentos de Almacenamiento y Taburete, para Dormitorio;Equipamentos;;;Ativo;ProStoral;€ 191.66;TUKAILAi;;PS0175202510;02/11/2023;;16/10/2025;16/10/2025
SHIFENG Defender 90 110 2020;SHIFENG Para Land Rover Defender 90 110 2020 2021 2022 2023 aleación de aluminio cesta de almacenamiento del maletero del coche caja de accesorios negros (lado izquierdo);Equipamentos;;;Ativo;ProStoral;€ 103.86;SHIFENG;;PS0176202510;28/10/2023;;16/10/2025;16/10/2025
KERDOM de de escritorio;KERDOM Silla de oficina ergonómica, silla de escritorio con reposabrazos plegables y soporte lumbar, silla giratoria de altura ajustable con anillo para reposapiés, adecuada para el hogar y la oficina;Equipamentos;;;Ativo;ProStoral;€ 117.64;KERDOM;;PS0177202510;15/10/2023;;16/10/2025;16/10/2025
Sin Depósito 0.9L, Posición;HOOVER Aspiradora Escoba Sin Cable, Depósito 0.9L, Posición Parking, Luz LED, Autonomía 40min - HF100;Equipamentos;;;Ativo;ProStoral;€ 95.04;Hoover;;PS0178202510;30/09/2023;;16/10/2025;16/10/2025
iPhone 14 Pro (128 -;Apple iPhone 14 Pro (128 GB) - Morado Oscuro;Equipamentos;;;Ativo;ProStoral;€ 888.43;Apple;;PS0179202510;07/08/2023;;16/10/2025;16/10/2025
iRobot Robot con conexión j7+;iRobot Robot Aspirador con conexión Wi-Fi, Roomba j7+ con Vaciado automático de la Suciedad, Dos cepillos de Goma multisuperficie, optimo para Mascotas, aprende, mapea y se Adapta a tu hogar;Equipamentos;;;Ativo;ProStoral;€ 577.69;iRobot;;PS0180202510;02/08/2023;;16/10/2025;16/10/2025
Behringer XENYX X2442USB Premium de;Mezclador Behringer XENYX X2442USB Premium de 24 entradas y 4/2 buses con preamplificadores y compresores de micrófono XENYX;Equipamentos;;;Ativo;ProStoral;€ 309.92;Behringer;;PS0181202510;01/08/2023;;16/10/2025;16/10/2025
iRobot Robot Aspirador Roomba;iRobot Robot Aspirador Roomba s9+ Conectado a WiFi con Vaciado automático - Tecnología PerfectEdge® con Cepillo para Esquinas y Dos cepillos de Goma Multisuperficie más Anchos - Aumento de Potencia;Equipamentos;;;Ativo;ProStoral;€ 614.87;iRobot;;PS0182202510;13/07/2023;;16/10/2025;16/10/2025
Polk Mini - de Sonido;Polk Audio MagniFi Mini - Barra de Sonido y Subwoofer Inalámbrico, con Asistente de Google, Bluetooth, color Negro;Equipamentos;;;Ativo;ProStoral;€ 162.55;Polk Audio;;PS0183202510;12/07/2023;;16/10/2025;16/10/2025
Polk Mini - de Sonido;Polk Audio MagniFi Mini - Barra de Sonido y Subwoofer Inalámbrico, con Asistente de Google, Bluetooth, color Negro;Equipamentos;;;Ativo;ProStoral;€ 162.55;Polk Audio;;PS0184202510;12/07/2023;;16/10/2025;16/10/2025
Aire Acondicionado Portatil, Enfriador;Aire Acondicionado Portatil, Enfriador de Aire Portátil con Cristal de Hielo y Control Remoto, Climatizador Evaporativo Silencioso de Bajo Consumo de Energía con Humidificación para Hogar y Oficina;Equipamentos;;;Ativo;ProStoral;€ 226.80;IcyAir;;PS0185202510;30/06/2023;;16/10/2025;16/10/2025
- 34744 DE COMPÁS DE;AUSONIA - 34744 SIERRA DE COMPÁS AJUSTABLE DE 30 CM DE DIÁMETRO CON TAZA DE PLÁSTICO QUE PROTEGE DEL POLVO Y JUNTA HEXAGONAL DE 10 MM Y PUNTAS DE RECAMBIO. DIÁMETRO DE CORTE AJUSTABLE DE 40 A 200 MM;Equipamentos;;;Ativo;ProStoral;€ 73.14;AUSONIA;;PS0186202510;30/06/2023;;16/10/2025;16/10/2025
SEVERIN Mini congelador con;SEVERIN Mini congelador con 4 estrellas de congelación, congelador pequeño con estante intermedio, congelador bajo para hogares con poco espacio, 32 litros, blanco, GB 8882;Equipamentos;;;Ativo;ProStoral;€ 139.66;Severin;;PS0187202510;30/06/2023;;16/10/2025;16/10/2025
Apple Magic Mouse;Apple Magic Mouse;Equipamentos;;;Ativo;ProStoral;€ 62.80;Apple;;PS0188202510;16/05/2023;;16/10/2025;16/10/2025
Baxxtar 2X Batería LP-E6NH;Baxxtar 2X Batería LP-E6NH V1 MaxProtect (2250mAh Sensor NTC Activo, Carcasa V1) Cargador 18602 Mini USB LCD - también Compatible con Canon R5 R5c R6 R6II R7;Equipamentos;;;Ativo;ProStoral;€ 65.21;Baxxtar;;PS0189202510;15/05/2023;;16/10/2025;16/10/2025
2023 Pro con Chip M2;Apple 2023 MacBook Pro con Chip M2 Pro con CPU de Doce núcleos y GPU de diecinueve núcleos: Liquid Retina XDR de 16,2 Pulgadas, 16GB de Memoria unificada, 1 TB de Almacenamiento SSD, Plata;Equipamentos;;;Ativo;ProStoral;€ 2486.78;Apple;;PS0190202510;14/05/2023;;16/10/2025;16/10/2025
HOMCOM Silla Trabajo Taburete;HOMCOM Silla Trabajo Taburete Ruedas Giratorias Taburete Cosmetica Dentista Peluqueria Color Beige;Equipamentos;;;Ativo;ProStoral;€ 57.46;HOMCOM;;PS0191202510;12/05/2023;;16/10/2025;16/10/2025
Klarstein Fort Rock Chimenea;Klarstein Fort Rock Chimenea eléctrica - Chimenea eléctrica Decorativa con 1800 W de Potencia, Estufa eléctrica Decorativa Regulable, de 10 a 30 °C, Efecto llameante LED, Mando a Distancia;Equipamentos;;;Ativo;ProStoral;€ 215.59;KLARSTEIN;;PS0192202510;24/04/2023;;16/10/2025;16/10/2025
